"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test verifies the full process of removing a product from the shopping cart after it has been added.","0","E-commerce: Remove Product from Cart","tests.ui.ecommerce","Thu Dec 04 10:28:50 UTC 2025","broken","Thu Dec 04 10:28:50 UTC 2025","","test_remove_from_cart","",""
"Verify that an error message is displayed for various incorrect login combinations.","0","test_login_with_invalid_credentials[admin@admin.com-!nC0r3cTT?]","tests.ui.ecommerce","Thu Dec 04 10:28:50 UTC 2025","broken","Thu Dec 04 10:28:50 UTC 2025","","test_login_negative","",""
"Verify that an error message is displayed for various incorrect login combinations.","285","test_login_with_invalid_credentials[chromium-admin@admin.com-!nC0r3cTT?]","tests.ui.ecommerce","Tue Dec 09 13:28:37 UTC 2025","passed","Tue Dec 09 13:28:38 UTC 2025","","test_login_negative","",""
"Verifies that a single product can be added to the cart and its details are correct.","0","test_add_to_cart_phone[product2]","tests.ui.ecommerce","Thu Dec 04 10:28:50 UTC 2025","broken","Thu Dec 04 10:28:50 UTC 2025","","test_add_to_cart","",""
"Verify that an error message is displayed for various incorrect login combinations.","0","test_login_with_invalid_credentials[wrong@email.com-!nC0r3cTT?]","tests.ui.ecommerce","Thu Dec 04 10:28:50 UTC 2025","broken","Thu Dec 04 10:28:50 UTC 2025","","test_login_negative","",""
"Verifies that a single product can be added to the cart and its details are correct.","329","test_add_to_cart_phone[chromium-product2]","tests.ui.ecommerce","Tue Dec 09 13:28:38 UTC 2025","passed","Tue Dec 09 13:28:38 UTC 2025","","test_add_to_cart","",""
"Verifies that all products can be added to the cart and the total price is calculated correctly.","0","test_add_to_cart_all_phones","tests.ui.ecommerce","Thu Dec 04 10:28:50 UTC 2025","broken","Thu Dec 04 10:28:50 UTC 2025","","test_add_to_cart","",""
"Verifies that a user can log in successfully and is redirected to the shopping page.","279","test_login_successfully[chromium]","tests.ui.ecommerce","Tue Dec 09 13:28:37 UTC 2025","passed","Tue Dec 09 13:28:37 UTC 2025","","test_login_succesfull","",""
"Verifies that a single product can be added to the cart and its details are correct.","0","test_add_to_cart_phone[product4]","tests.ui.ecommerce","Thu Dec 04 10:28:50 UTC 2025","broken","Thu Dec 04 10:28:50 UTC 2025","","test_add_to_cart","",""
"This test verifies if items returned as the response are of correct types","15","Test GET /api/v1/employees endpoint id","tests.api","Tue Dec 09 13:28:34 UTC 2025","passed","Tue Dec 09 13:28:34 UTC 2025","TestGetAPI","test_get_employees","",""
"Verifies that a single product can be added to the cart and its details are correct.","0","test_add_to_cart_phone[product0]","tests.ui.ecommerce","Thu Dec 04 10:28:50 UTC 2025","broken","Thu Dec 04 10:28:50 UTC 2025","","test_add_to_cart","",""
"This test verifies the full process of removing a product from the shopping cart after it has been added.","334","E-commerce: Remove Product from Cart","tests.ui.ecommerce","Tue Dec 09 13:28:37 UTC 2025","passed","Tue Dec 09 13:28:37 UTC 2025","","test_remove_from_cart","",""
"This test verifies that the API returns a list of all employees successfully.","361","Test GET /api/v1/employees endpoint","tests.api","Tue Dec 09 13:28:33 UTC 2025","passed","Tue Dec 09 13:28:34 UTC 2025","TestGetAPI","test_get_employees","",""
"Verify that an error message is displayed for various incorrect login combinations.","0","test_login_with_invalid_credentials[wrong@email.com-admin123]","tests.ui.ecommerce","Thu Dec 04 10:28:50 UTC 2025","broken","Thu Dec 04 10:28:50 UTC 2025","","test_login_negative","",""
"Verify that an error message is displayed for various incorrect login combinations.","266","test_login_with_invalid_credentials[chromium-wrong@email.com-!nC0r3cTT?]","tests.ui.ecommerce","Tue Dec 09 13:28:38 UTC 2025","passed","Tue Dec 09 13:28:38 UTC 2025","","test_login_negative","",""
"Verifies that all products can be added to the cart and the total price is calculated correctly.","462","test_add_to_cart_all_phones[chromium]","tests.ui.ecommerce","Tue Dec 09 13:28:36 UTC 2025","passed","Tue Dec 09 13:28:36 UTC 2025","","test_add_to_cart","",""
